date,hour,fw,bw
2016-10-19,12,1502,1519
2016-10-19,13,1598,1623
2016-10-19,14,1659,1496
2016-10-19,15,1708,1551
2016-10-19,16,1632,1520
2016-10-19,17,1643,1519
2016-10-19,18,1487,1453
2016-10-19,19,912,953
2016-10-19,20,323,330
2016-10-19,21,242,221
2016-10-19,22,205,233
2016-10-19,23,103,135
2016-10-20,00,29,34
2016-10-20,01,34,42
2016-10-20,02,34,39
2016-10-20,03,28,26
2016-10-20,04,16,18
2016-10-20,05,30,36
2016-10-20,06,63,48
2016-10-20,07,326,285
2016-10-20,08,688,644
2016-10-20,09,1081,840
2016-10-20,10,1601,1375
2016-10-20,11,1870,1706
2016-10-20,12,1837,1851
2016-10-20,13,1907,1841
2016-10-20,14,1866,1711
2016-10-20,15,1988,1802
2016-10-20,16,2143,2110
2016-10-20,17,1892,1912
2016-10-20,18,1443,1483
2016-10-20,19,920,960
2016-10-20,20,605,767
2016-10-20,21,359,352
2016-10-20,22,245,297
2016-10-20,23,186,168
2016-10-21,00,48,60
2016-10-21,01,18,28
2016-10-21,02,11,4
2016-10-21,03,3,0
2016-10-21,04,4,1
2016-10-21,05,15,7
2016-10-21,06,80,44
2016-10-21,07,375,299
2016-10-21,08,611,550
2016-10-21,09,906,786
2016-10-21,10,1589,1339
2016-10-21,11,2257,1977
2016-10-21,12,1948,1932
2016-10-21,13,1804,1821
2016-10-21,14,1777,1797
2016-10-21,15,2237,2110
2016-10-21,16,2203,2146
2016-10-21,17,2191,2098
2016-10-21,18,1907,1847
2016-10-21,19,1122,1191
2016-10-21,20,582,627
2016-10-21,21,418,411
2016-10-21,22,445,432
2016-10-21,23,389,377
2016-10-22,00,211,208
2016-10-22,01,63,80
2016-10-22,02,19,29
2016-10-22,03,16,13
2016-10-22,04,13,14
2016-10-22,05,23,13
2016-10-22,06,40,35
2016-10-22,07,178,155
2016-10-22,08,441,398
2016-10-22,09,1067,909
2016-10-22,10,2276,2147
2016-10-22,11,3590,3241
2016-10-22,12,3294,2964
2016-10-22,13,2700,2584
2016-10-22,14,2819,2809
2016-10-22,15,4051,3858
2016-10-22,16,4712,4437
2016-10-22,17,4664,4446
2016-10-22,18,3853,3815
2016-10-22,19,2178,2225
2016-10-22,20,944,1028
2016-10-22,21,765,744
2016-10-22,22,750,729
2016-10-22,23,678,603
2016-10-23,00,244,314
2016-10-23,01,65,139
2016-10-23,02,51,58
2016-10-23,03,25,20
2016-10-23,04,14,12
2016-10-23,05,13,6
2016-10-23,06,20,16
2016-10-23,07,78,55
2016-10-23,08,209,209
2016-10-23,09,819,590
2016-10-23,10,1323,1098
2016-10-23,11,2150,2208
2016-10-23,12,1618,1539
2016-10-23,13,1109,1069
2016-10-23,14,1117,1075
2016-10-23,15,1774,1673
2016-10-23,16,1735,1589
2016-10-23,17,1897,1748
2016-10-23,18,1348,1329
2016-10-23,19,954,854
2016-10-23,20,339,341
2016-10-23,21,253,210
2016-10-23,22,168,171
2016-10-23,23,67,104
2016-10-24,00,37,33
2016-10-24,01,13,12
2016-10-24,02,28,32
2016-10-24,03,26,30
2016-10-24,04,15,16
2016-10-24,05,24,12
2016-10-24,06,49,25
2016-10-24,07,372,321
2016-10-24,08,583,519
2016-10-24,09,831,718
2016-10-24,10,1487,1187
2016-10-24,11,1547,1367
2016-10-24,12,1258,1238
2016-10-24,13,1412,1324
2016-10-24,14,1536,1524
2016-10-24,15,1396,1377
2016-10-24,16,1589,1485
2016-10-24,17,1651,1627
2016-10-24,18,1288,1343
2016-10-24,19,579,632
2016-10-24,20,258,267
2016-10-24,21,162,163
2016-10-24,22,102,112
2016-10-24,23,61,68
2016-10-25,00,41,40
2016-10-25,01,39,32
2016-10-25,02,84,64
2016-10-25,03,88,48
2016-10-25,04,18,11
2016-10-25,05,15,10
2016-10-25,06,45,25
2016-10-25,07,313,283
2016-10-25,08,558,499
2016-10-25,09,844,742
2016-10-25,10,1252,1164
2016-10-25,11,1625,1338
2016-10-25,12,1272,1227
2016-10-25,13,1464,1476
2016-10-25,14,1316,1201
2016-10-25,15,1204,1135
2016-10-25,16,1293,1200
2016-10-25,17,1205,1156
2016-10-25,18,1168,1135
2016-10-25,19,608,630
2016-10-25,20,378,317
2016-10-25,21,241,228
2016-10-25,22,187,207
2016-10-25,23,77,95
2016-10-26,00,77,77
2016-12-02,12,1672,1698
2016-10-26,01,100,84
2016-10-26,02,63,38
2016-10-26,03,99,56
2016-10-26,04,68,43
2016-10-26,05,99,73
2016-10-26,06,69,26
2016-10-26,07,322,295
2016-10-26,08,574,502
2016-10-26,09,895,742
2016-10-26,10,1504,1372
2016-10-26,11,1746,1523
2016-10-26,12,1506,1547
2016-10-26,13,1565,1476
2016-10-26,14,1485,1406
2016-10-26,15,1699,1550
2016-10-26,16,1915,1711
2016-10-26,17,1030,1077
2016-10-26,18,581,695
2016-10-26,19,422,483
2016-10-26,20,198,201
2016-10-26,21,181,192
2016-10-26,22,262,281
2016-10-26,23,66,79
2016-10-27,00,33,45
2016-10-27,01,22,20
2016-10-27,02,18,14
2016-10-27,03,20,13
2016-10-27,04,8,6
2016-10-27,05,22,18
2016-10-27,06,40,16
2016-10-27,07,331,298
2016-10-27,08,609,529
2016-10-27,09,975,804
2016-10-27,10,1619,1496
2016-10-27,11,1938,1727
2016-10-27,12,1742,1749
2016-10-27,13,1559,1510
2016-10-27,14,1546,1470
2016-10-27,15,1790,1746
2016-10-27,16,2074,1798
