date,hour,p101
2015-12-22,15,740
2015-12-22,16,740
2015-12-22,17,474
2015-12-22,18,322
2015-12-22,19,460
2015-12-22,20,566
2015-12-22,21,570
2015-12-22,22,570
2015-12-22,23,570
2015-12-23,00,570
2015-12-23,01,570
2015-12-23,02,570
2015-12-23,03,570
2015-12-23,04,570
2015-12-23,05,570
2015-12-23,06,570
2015-12-23,07,570
2015-12-23,08,570
2015-12-23,09,385
2015-12-23,10,80
2015-12-23,11,15
2015-12-23,12,30
2015-12-23,13,170
2015-12-23,14,223
2015-12-23,15,142
2015-12-23,16,118
2015-12-23,17,129
2015-12-23,18,211
2015-12-23,19,215
2015-12-23,20,397
2015-12-23,21,550
2015-12-23,22,550
2015-12-23,23,550
2015-12-24,00,550
2015-12-24,01,550
2015-12-24,02,550
2015-12-24,03,550
2015-12-24,04,550
2015-12-24,05,550
2015-12-24,06,584
2015-12-24,07,580
2015-12-24,08,529
2015-12-24,09,319
2015-12-24,10,207
2015-12-24,11,154
2015-12-24,12,176
2015-12-24,13,305
2015-12-24,14,310
2015-12-24,15,307
2015-12-24,16,284
2015-12-24,17,295
2015-12-24,18,367
2015-12-24,19,505
2015-12-24,20,576
2015-12-24,21,585
2015-12-24,22,585
2015-12-24,23,585
2015-12-25,00,585
2015-12-25,01,590
2015-12-25,02,605
2015-12-25,03,605
2015-12-25,04,605
2015-12-25,05,605
2015-12-25,06,605
2015-12-25,07,605
2015-12-25,08,605
2015-12-25,09,605
2015-12-25,10,605
2015-12-25,11,605
2015-12-25,12,605
2015-12-25,13,605
2015-12-25,14,605
2015-12-25,15,605
2015-12-25,16,605
2015-12-25,17,605
2015-12-25,18,605
2015-12-25,19,605
2015-12-25,20,605
2015-12-25,21,605
2015-12-25,22,605
2015-12-25,23,605
2015-12-26,00,605
2015-12-26,01,605
2015-12-26,02,605
2015-12-26,03,605
2015-12-26,04,605
2015-12-26,05,605
2015-12-26,06,605
2015-12-26,07,605
2015-12-26,08,605
2015-12-26,09,605
2015-12-26,10,605
2015-12-26,11,605
2015-12-26,12,605
2015-12-26,13,605
2015-12-26,14,539
2015-12-26,15,359
2015-12-26,16,280
2015-12-26,17,170
2015-12-26,18,132
2015-12-26,19,245
2015-12-26,20,398
2015-12-26,21,495
2015-12-26,22,533
2015-12-26,23,562
2015-12-27,00,583
