date,hour,p109
2016-01-03,17,120
2016-01-03,18,131
2016-01-03,19,143
2016-01-03,20,146
2016-01-03,21,148
2016-01-03,22,149
2016-01-03,23,149
2016-01-04,00,150
2016-01-04,01,150
2016-01-04,02,150
2016-01-04,03,150
2016-01-04,04,150
2016-01-04,05,150
2016-01-04,06,150
2016-01-04,07,145
2016-01-04,08,124
2016-01-04,09,119
2016-01-04,10,115
2016-01-04,11,114
2016-01-04,12,116
2016-01-04,13,119
2016-01-04,14,121
2016-01-04,15,118
2016-01-04,16,123
2016-01-04,17,129
2016-01-04,18,143
2016-01-04,19,153
2016-01-04,20,159
2016-01-04,21,160
2016-01-04,22,160
2016-01-04,23,160
2016-01-05,00,160
2016-01-05,01,160
2016-01-05,02,159
2016-01-05,03,160
2016-01-05,04,160
2016-01-05,05,160
2016-01-05,06,160
2016-01-05,07,157
2016-01-05,08,139
2016-01-05,09,131
2016-01-05,10,125
2016-01-05,11,116
2016-01-05,12,117
2016-01-05,13,120
2016-01-05,14,120
2016-01-05,15,120
2016-01-05,16,115
2016-01-05,17,128
2016-01-05,18,147
2016-01-05,19,159
2016-01-05,20,159
2016-01-05,21,158
2016-01-05,22,159
2016-01-05,23,159
2016-01-06,00,159
2016-01-06,01,159
2016-01-06,02,159
2016-01-06,03,160
2016-01-06,04,159
2016-01-06,05,160
2016-01-06,06,160
2016-01-06,07,159
2016-01-06,08,159
2016-01-06,09,158
2016-01-06,10,157
2016-01-06,11,156
2016-01-06,12,154
2016-01-06,13,154
2016-01-06,14,150
2016-01-06,15,90
2016-01-06,16,19
2016-01-06,17,33
2016-01-06,18,104
2016-01-06,19,150
2016-01-06,20,159
2016-01-06,21,160
2016-01-06,22,159
2016-01-06,23,160
2016-01-07,00,160
2016-01-07,01,160
2016-01-07,02,160
2016-01-07,03,160
2016-01-07,04,160
2016-01-07,05,160
2016-01-07,06,159
2016-01-07,07,144
2016-01-07,08,97
2016-01-07,09,72
2016-01-07,10,64
2016-01-07,11,64
2016-01-07,12,70
2016-01-07,13,77
2016-01-07,14,83
2016-01-07,15,90
2016-01-07,16,99
2016-01-07,17,112
2016-01-07,18,120
2016-01-07,19,145
2016-01-07,20,159
2016-01-07,21,159
2016-01-07,22,160
2016-01-07,23,160
2016-01-08,00,160
2016-01-08,01,160
2016-01-08,02,159
2016-01-08,03,160
2016-01-08,04,160
2016-01-08,05,160
2016-01-08,06,160
2016-01-08,07,153
2016-01-08,08,119
2016-01-08,09,94
2016-01-08,10,92
2016-01-08,11,87
2016-01-08,12,90
2016-01-08,13,96
2016-01-08,14,98
2016-01-08,15,101
2016-01-08,16,104
2016-01-08,17,112
2016-01-08,18,126
2016-01-08,19,146
2016-01-08,20,158
2016-01-08,21,159
2016-01-08,22,159
2016-01-08,23,160
2016-01-09,00,160
2016-01-09,01,160
2016-01-09,02,160
2016-01-09,03,160
2016-01-09,04,160
2016-01-09,05,160
2016-01-09,06,159
2016-01-09,07,159
2016-01-09,08,158
2016-01-09,09,151
2016-01-09,10,140
2016-01-09,11,133
2016-01-09,12,135
2016-01-09,13,139
2016-01-09,14,145
2016-01-09,15,147
2016-01-09,16,148
2016-01-09,17,149
2016-01-09,18,152
2016-01-09,19,156
2016-01-09,20,159
2016-01-09,21,160
2016-01-09,22,159
2016-01-09,23,159
2016-01-10,00,159
2016-01-10,01,160
2016-01-10,02,160
2016-01-10,03,159
2016-01-10,04,160
2016-01-10,05,160
2016-01-10,06,159
2016-01-10,07,159
2016-01-10,08,158
2016-01-10,09,158
2016-01-10,10,157
2016-01-10,11,157
2016-01-10,12,157
2016-01-10,13,158
2016-01-10,14,158
2016-01-10,15,157
2016-01-10,16,155
2016-01-10,17,157
2016-01-10,18,159
2016-01-10,19,159
2016-01-10,20,160
2016-01-10,21,160
2016-01-10,22,159
2016-01-10,23,159
2016-01-11,00,159
2016-01-11,01,160
2016-01-11,02,160
2016-01-11,03,160
2016-01-11,04,160
2016-01-11,05,160
2016-01-11,06,159
2016-01-11,07,149
2016-01-11,08,110
2016-01-11,09,88
2016-01-11,10,83
2016-01-11,11,79
2016-01-11,12,78
2016-01-11,13,77
2016-01-11,14,77
2016-01-11,15,84
2016-01-11,16,94
2016-01-11,17,107
2016-01-11,18,122
2016-01-11,19,141
2016-01-11,20,158
2016-01-11,21,159
2016-01-11,22,159
2016-01-11,23,160
2016-01-12,00,160
2016-01-12,01,159
2016-01-12,02,159
2016-01-12,03,159
2016-01-12,04,159
2016-01-12,05,159
2016-01-12,06,159
2016-01-12,07,146
2016-01-12,08,102
2016-01-12,09,75
2016-01-12,10,66
2016-01-12,11,61
2016-01-12,12,65
2016-01-12,13,69
2016-01-12,14,68
2016-01-12,15,71
2016-01-12,16,82
2016-01-12,17,102
2016-01-12,18,126
2016-01-12,19,147
2016-01-12,20,160
2016-01-12,21,159
2016-01-12,22,158
2016-01-12,23,158
2016-01-13,00,160
2016-01-13,01,160
2016-01-13,02,159
2016-01-13,03,160
2016-01-13,04,160
2016-01-13,05,160
2016-01-13,06,159
2016-01-13,07,142
2016-01-13,08,94
2016-01-13,09,64
2016-01-13,10,55
2016-01-13,11,53
2016-01-13,12,59
2016-01-13,13,63
2016-01-13,14,61
2016-01-13,15,61
2016-01-13,16,69
2016-01-13,17,87
2016-01-13,18,108
2016-01-13,19,137
2016-01-13,20,155
2016-01-13,21,159
2016-01-13,22,159
2016-01-13,23,160
2016-01-14,00,160
2016-01-14,01,160
2016-01-14,02,160
2016-01-14,03,160
2016-01-14,04,160
2016-01-14,05,160
2016-01-14,06,159
2016-01-14,07,146
2016-01-14,08,100
2016-01-14,09,66
2016-01-14,10,55
2016-01-14,11,59
2016-01-14,12,64
2016-01-14,13,72
2016-01-14,14,74
2016-01-14,15,72
2016-01-14,16,79
2016-01-14,17,95
2016-01-14,18,118
2016-01-14,19,150
2016-01-14,20,159
2016-01-14,21,159
2016-01-14,22,159
2016-01-14,23,159
2016-01-15,00,159
2016-01-15,01,159
2016-01-15,02,159
2016-01-15,03,158
2016-01-15,04,159
2016-01-15,05,159
2016-01-15,06,159
2016-01-15,07,154
2016-01-15,08,115
2016-01-15,09,87
2016-01-15,10,78
2016-01-15,11,78
2016-01-15,12,83
2016-01-15,13,87
2016-01-15,14,84
2016-01-15,15,90
2016-01-15,16,100
2016-01-15,17,114
2016-01-15,18,129
2016-01-15,19,151
2016-01-15,20,159
2016-01-15,21,159
2016-01-15,22,159
2016-01-15,23,160
2016-01-16,00,159
2016-01-16,01,159
2016-01-16,02,159
2016-01-16,03,160
2016-01-16,04,159
2016-01-16,05,160
2016-01-16,06,159
2016-01-16,07,159
2016-01-16,08,155
2016-01-16,09,143
2016-01-16,10,124
2016-01-16,11,109
2016-01-16,12,101
2016-01-16,13,64
2016-01-16,14,0
2016-01-16,15,0
2016-01-16,16,0
2016-01-16,17,76
2016-01-16,18,123
2016-01-16,19,138
2016-01-16,20,146
2016-01-16,21,147
2016-01-16,22,147
2016-01-16,23,147
2016-01-17,00,148
2016-01-17,01,149
2016-01-17,02,150
2016-01-17,03,151
2016-01-17,04,151
2016-01-17,05,151
2016-01-17,06,151
2016-01-17,07,151
2016-01-17,08,150
2016-01-17,09,149
2016-01-17,10,150
2016-01-17,11,150
2016-01-17,12,150
2016-01-17,13,151
2016-01-17,14,152
2016-01-17,15,154
2016-01-17,16,153
2016-01-17,17,153
2016-01-17,18,157
2016-01-17,19,159
2016-01-17,20,159
2016-01-17,21,159
2016-01-17,22,160
2016-01-17,23,159
2016-01-18,00,160
2016-01-18,01,160
2016-01-18,02,160
2016-01-18,03,160
2016-01-18,04,160
2016-01-18,05,160
2016-01-18,06,159
2016-01-18,07,152
2016-01-18,08,114
2016-01-18,09,88
2016-01-18,10,74
2016-01-18,11,69
2016-01-18,12,67
2016-01-18,13,73
2016-01-18,14,74
2016-01-18,15,78
2016-01-18,16,90
2016-01-18,17,100
2016-01-18,18,117
2016-01-18,19,143
2016-01-18,20,160
2016-01-18,21,159
2016-01-18,22,159
2016-01-18,23,159
2016-01-19,00,159
2016-01-19,01,158
2016-01-19,02,159
2016-01-19,03,159
2016-01-19,04,158
2016-01-19,05,160
2016-01-19,06,160
2016-01-19,07,151
2016-01-19,08,111
2016-01-19,09,82
2016-01-19,10,71
2016-01-19,11,70
2016-01-19,12,71
2016-01-19,13,70
2016-01-19,14,74
2016-01-19,15,77
2016-01-19,16,89
2016-01-19,17,106
2016-01-19,18,125
2016-01-19,19,145
2016-01-19,20,158
2016-01-19,21,159
2016-01-19,22,158
2016-01-19,23,159
2016-01-20,00,160
2016-01-20,01,160
2016-01-20,02,159
2016-01-20,03,160
2016-01-20,04,160
2016-01-20,05,160
2016-01-20,06,159
2016-01-20,07,142
2016-01-20,08,95
2016-01-20,09,60
2016-01-20,10,47
2016-01-20,11,45
2016-01-20,12,48
2016-01-20,13,53
2016-01-20,14,53
2016-01-20,15,63
2016-01-20,16,76
2016-01-20,17,99
2016-01-20,18,128
2016-01-20,19,153
2016-01-20,20,159
2016-01-20,21,160
2016-01-20,22,159
2016-01-20,23,160
2016-01-21,00,159
2016-01-21,01,160
2016-01-21,02,160
2016-01-21,03,160
2016-01-21,04,160
2016-01-21,05,160
2016-01-21,06,160
2016-01-21,07,148
2016-01-21,08,103
2016-01-21,09,66
2016-01-21,10,51
2016-01-21,11,48
2016-01-21,12,56
2016-01-21,13,65
2016-01-21,14,68
2016-01-21,15,75
2016-01-21,16,87
2016-01-21,17,109
2016-01-21,18,127
2016-01-21,19,155
2016-01-21,20,160
2016-01-21,21,159
2016-01-21,22,159
2016-01-21,23,159
2016-01-22,00,159
2016-01-22,01,160
2016-01-22,02,160
2016-01-22,03,160
2016-01-22,04,160
2016-01-22,05,160
2016-01-22,06,160
2016-01-22,07,155
2016-01-22,08,113
2016-01-22,09,80
2016-01-22,10,68
2016-01-22,11,64
2016-01-22,12,72
2016-01-22,13,84
2016-01-22,14,90
2016-01-22,15,94
2016-01-22,16,100
2016-01-22,17,111
2016-01-22,18,130
2016-01-22,19,154
2016-01-22,20,160
2016-01-22,21,159
2016-01-22,22,159
2016-01-22,23,157
2016-01-23,00,159
2016-01-23,01,159
2016-01-23,02,159
2016-01-23,03,159
2016-01-23,04,159
2016-01-23,05,158
2016-01-23,06,158
2016-01-23,07,159
2016-01-23,08,158
2016-01-23,09,157
2016-01-23,10,149
2016-01-23,11,140
2016-01-23,12,143
2016-01-23,13,138
2016-01-23,14,137
2016-01-23,15,137
2016-01-23,16,134
2016-01-23,17,135
2016-01-23,18,148
2016-01-23,19,158
2016-01-23,20,159
2016-01-23,21,160
2016-01-23,22,159
2016-01-23,23,159
2016-01-24,00,160
2016-01-24,01,159
2016-01-24,02,159
2016-01-24,03,158
2016-01-24,04,159
2016-01-24,05,159
2016-01-24,06,159
2016-01-24,07,159
2016-01-24,08,159
2016-01-24,09,160
2016-01-24,10,159
2016-01-24,11,158
2016-01-24,12,158
2016-01-24,13,157
2016-01-24,14,156
2016-01-24,15,148
2016-01-24,16,129
2016-01-24,17,139
2016-01-24,18,154
2016-01-24,19,160
2016-01-24,20,159
2016-01-24,21,159
2016-01-24,22,159
2016-01-24,23,158
2016-01-25,00,159
2016-01-25,01,159
2016-01-25,02,159
2016-01-25,03,159
2016-01-25,04,159
2016-01-25,05,159
2016-01-25,06,159
2016-01-25,07,159
2016-01-25,08,159
2016-01-25,09,159
2016-01-25,10,134
2016-01-25,11,74
2016-01-25,12,79
2016-01-25,13,79
2016-01-25,14,80
2016-01-25,15,91
