date,hour,p104
2015-12-22,15,120
2015-12-22,16,123
2015-12-22,17,157
2015-12-22,18,213
2015-12-22,19,275
2015-12-22,20,269
2015-12-22,21,234
2015-12-22,22,278
2015-12-22,23,351
2015-12-23,00,417
2015-12-23,01,431
2015-12-23,02,439
2015-12-23,03,441
2015-12-23,04,441
2015-12-23,05,441
2015-12-23,06,440
2015-12-23,07,421
2015-12-23,08,354
2015-12-23,09,262
2015-12-23,10,128
2015-12-23,11,99
2015-12-23,12,175
2015-12-23,13,220
2015-12-23,14,208
2015-12-23,15,111
2015-12-23,16,59
2015-12-23,17,56
2015-12-23,18,124
2015-12-23,19,238
2015-12-23,20,286
2015-12-23,21,277
2015-12-23,22,298
2015-12-23,23,352
2015-12-24,00,409
2015-12-24,01,436
2015-12-24,02,443
2015-12-24,03,444
2015-12-24,04,444
2015-12-24,05,445
2015-12-24,06,444
2015-12-24,07,435
2015-12-24,08,396
2015-12-24,09,297
2015-12-24,10,177
2015-12-24,11,133
2015-12-24,12,174
2015-12-24,13,242
2015-12-24,14,234
2015-12-24,15,171
2015-12-24,16,140
2015-12-24,17,141
2015-12-24,18,176
2015-12-24,19,271
2015-12-24,20,356
2015-12-24,21,359
2015-12-24,22,334
2015-12-24,23,250
2015-12-25,00,218
2015-12-25,01,300
2015-12-25,02,415
2015-12-25,03,431
2015-12-25,04,438
2015-12-25,05,440
2015-12-25,06,446
2015-12-25,07,451
2015-12-25,08,450
2015-12-25,09,444
2015-12-25,10,423
2015-12-25,11,418
2015-12-25,12,407
2015-12-25,13,411
2015-12-25,14,409
2015-12-25,15,394
2015-12-25,16,366
2015-12-25,17,267
2015-12-25,18,194
2015-12-25,19,281
2015-12-25,20,389
2015-12-25,21,430
2015-12-25,22,438
2015-12-25,23,447
2015-12-26,00,450
2015-12-26,01,449
2015-12-26,02,449
2015-12-26,03,449
2015-12-26,04,449
2015-12-26,05,449
2015-12-26,06,450
2015-12-26,07,450
2015-12-26,08,448
2015-12-26,09,443
2015-12-26,10,411
2015-12-26,11,374
2015-12-26,12,374
2015-12-26,13,362
2015-12-26,14,319
2015-12-26,15,133
2015-12-26,16,6
2015-12-26,17,13
2015-12-26,18,58
2015-12-26,19,147
2015-12-26,20,258
2015-12-26,21,291
2015-12-26,22,340
2015-12-26,23,388
2015-12-27,00,421
2015-12-27,01,440
2015-12-27,02,443
2015-12-27,03,444
2015-12-27,04,444
2015-12-27,05,443
2015-12-27,06,442
2015-12-27,07,443
2015-12-27,08,443
2015-12-27,09,431
2015-12-27,10,368
2015-12-27,11,277
2015-12-27,12,246
2015-12-27,13,255
2015-12-27,14,130
2015-12-27,15,3
2015-12-27,16,7
2015-12-27,17,29
2015-12-27,18,90
2015-12-27,19,199
2015-12-27,20,228
2015-12-27,21,272
2015-12-27,22,339
2015-12-27,23,398
2015-12-28,00,422
2015-12-28,01,442
2015-12-28,02,448
2015-12-28,03,448
2015-12-28,04,448
2015-12-28,05,447
2015-12-28,06,446
2015-12-28,07,437
2015-12-28,08,399
2015-12-28,09,353
2015-12-28,10,304
2015-12-28,11,267
2015-12-28,12,297
2015-12-28,13,310
2015-12-28,14,280
2015-12-28,15,122
2015-12-28,16,23
2015-12-28,17,57
2015-12-28,18,107
2015-12-28,19,291
2015-12-28,20,366
2015-12-28,21,381
2015-12-28,22,408
2015-12-28,23,440
2015-12-29,00,451
2015-12-29,01,456
2015-12-29,02,457
2015-12-29,03,457
2015-12-29,04,457
2015-12-29,05,457
2015-12-29,06,456
2015-12-29,07,443
2015-12-29,08,412
2015-12-29,09,341
2015-12-29,10,225
2015-12-29,11,140
2015-12-29,12,161
2015-12-29,13,209
2015-12-29,14,166
2015-12-29,15,22
2015-12-29,16,12
2015-12-29,17,40
2015-12-29,18,151
2015-12-29,19,224
2015-12-29,20,283
2015-12-29,21,299
2015-12-29,22,335
2015-12-29,23,405
2015-12-30,00,447
2015-12-30,01,455
2015-12-30,02,454
2015-12-30,03,449
2015-12-30,04,449
2015-12-30,05,449
2015-12-30,06,447
2015-12-30,07,437
2015-12-30,08,395
2015-12-30,09,339
2015-12-30,10,289
2015-12-30,11,222
2015-12-30,12,200
2015-12-30,13,220
2015-12-30,14,164
2015-12-30,15,25
2015-12-30,16,34
2015-12-30,17,12
2015-12-30,18,22
2015-12-30,19,157
2015-12-30,20,225
2015-12-30,21,249
2015-12-30,22,299
2015-12-30,23,396
2015-12-31,00,436
2015-12-31,01,447
2015-12-31,02,448
2015-12-31,03,448
2015-12-31,04,448
2015-12-31,05,448
2015-12-31,06,446
2015-12-31,07,443
2015-12-31,08,428
2015-12-31,09,388
2015-12-31,10,337
2015-12-31,11,280
2015-12-31,12,279
2015-12-31,13,321
2015-12-31,14,327
2015-12-31,15,285
2015-12-31,16,267
2015-12-31,17,244
2015-12-31,18,275
2015-12-31,19,310
2015-12-31,20,210
2015-12-31,21,46
2015-12-31,22,0
2015-12-31,23,0
2016-01-01,00,0
2016-01-01,01,56
2016-01-01,02,285
2016-01-01,03,392
2016-01-01,04,413
2016-01-01,05,416
2016-01-01,06,417
2016-01-01,07,417
2016-01-01,08,415
2016-01-01,09,409
2016-01-01,10,397
2016-01-01,11,375
2016-01-01,12,334
2016-01-01,13,307
2016-01-01,14,253
2016-01-01,15,80
2016-01-01,16,0
2016-01-01,17,4
2016-01-01,18,109
2016-01-01,19,206
2016-01-01,20,324
2016-01-01,21,361
2016-01-01,22,383
2016-01-01,23,401
2016-01-02,00,406
2016-01-02,01,408
2016-01-02,02,409
2016-01-02,03,410
2016-01-02,04,410
2016-01-02,05,410
2016-01-02,06,411
2016-01-02,07,439
2016-01-02,08,436
2016-01-02,09,416
2016-01-02,10,378
2016-01-02,11,351
2016-01-02,12,339
2016-01-02,13,350
2016-01-02,14,342
2016-01-02,15,269
2016-01-02,16,203
2016-01-02,17,175
2016-01-02,18,197
2016-01-02,19,297
2016-01-02,20,346
2016-01-02,21,371
2016-01-02,22,396
2016-01-02,23,416
2016-01-03,00,429
2016-01-03,01,435
2016-01-03,02,438
2016-01-03,03,439
2016-01-03,04,441
2016-01-03,05,440
2016-01-03,06,439
2016-01-03,07,437
2016-01-03,08,433
2016-01-03,09,426
2016-01-03,10,396
2016-01-03,11,354
2016-01-03,12,327
2016-01-03,13,322
2016-01-03,14,244
2016-01-03,15,106
2016-01-03,16,12
2016-01-03,17,19
2016-01-03,18,92
