date,hour,p107
2015-12-22,15,130
2015-12-22,16,150
2015-12-22,17,177
2015-12-22,18,239
2015-12-22,19,293
2015-12-22,20,315
2015-12-22,21,319
2015-12-22,22,320
2015-12-22,23,321
2015-12-23,00,320
2015-12-23,01,320
2015-12-23,02,320
2015-12-23,03,321
2015-12-23,04,321
2015-12-23,05,320
2015-12-23,06,320
2015-12-23,07,311
2015-12-23,08,244
2015-12-23,09,178
2015-12-23,10,162
2015-12-23,11,152
2015-12-23,12,160
2015-12-23,13,181
2015-12-23,14,186
2015-12-23,15,182
2015-12-23,16,182
2015-12-23,17,206
2015-12-23,18,259
2015-12-23,19,308
2015-12-23,20,333
2015-12-23,21,337
2015-12-23,22,336
2015-12-23,23,335
2015-12-24,00,331
2015-12-24,01,328
2015-12-24,02,328
2015-12-24,03,327
2015-12-24,04,327
2015-12-24,05,327
2015-12-24,06,327
2015-12-24,07,325
2015-12-24,08,310
2015-12-24,09,294
2015-12-24,10,277
2015-12-24,11,271
2015-12-24,12,277
2015-12-24,13,298
2015-12-24,14,308
2015-12-24,15,315
2015-12-24,16,314
2015-12-24,17,318
2015-12-24,18,326
2015-12-24,19,336
2015-12-24,20,340
2015-12-24,21,342
2015-12-24,22,345
2015-12-24,23,346
2015-12-25,00,345
2015-12-25,01,344
2015-12-25,02,342
2015-12-25,03,341
2015-12-25,04,342
2015-12-25,05,342
2015-12-25,06,342
2015-12-25,07,343
2015-12-25,08,341
2015-12-25,09,343
2015-12-25,10,345
2015-12-25,11,348
2015-12-25,12,350
2015-12-25,13,354
2015-12-25,14,355
2015-12-25,15,352
2015-12-25,16,348
2015-12-25,17,348
2015-12-25,18,345
2015-12-25,19,343
2015-12-25,20,341
2015-12-25,21,340
2015-12-25,22,341
2015-12-25,23,340
2015-12-26,00,340
2015-12-26,01,339
2015-12-26,02,338
2015-12-26,03,338
2015-12-26,04,338
2015-12-26,05,337
2015-12-26,06,337
2015-12-26,07,338
2015-12-26,08,340
2015-12-26,09,341
2015-12-26,10,343
2015-12-26,11,346
2015-12-26,12,347
2015-12-26,13,347
2015-12-26,14,346
2015-12-26,15,340
2015-12-26,16,327
2015-12-26,17,311
2015-12-26,18,318
2015-12-26,19,334
2015-12-26,20,338
2015-12-26,21,340
2015-12-26,22,344
2015-12-26,23,344
2015-12-27,00,343
2015-12-27,01,341
2015-12-27,02,341
2015-12-27,03,341
2015-12-27,04,340
2015-12-27,05,339
2015-12-27,06,339
2015-12-27,07,339
2015-12-27,08,339
2015-12-27,09,339
2015-12-27,10,339
2015-12-27,11,339
2015-12-27,12,338
2015-12-27,13,338
2015-12-27,14,335
2015-12-27,15,294
2015-12-27,16,160
2015-12-27,17,62
2015-12-27,18,128
2015-12-27,19,239
2015-12-27,20,311
2015-12-27,21,327
2015-12-27,22,335
2015-12-27,23,337
2015-12-28,00,336
2015-12-28,01,335
2015-12-28,02,335
